precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
5-13,22003,Allen,0,0,0,0,84
60,22005,Ascension,1,0,1,0,95
2-5B,22009,Avoyelles,0,0,0,0,194
2-5E,22009,Avoyelles,1,0,1,0,15212
6-2,22009,Avoyelles,0,0,0,0,15213
18A,22011,Beauregard,20,0,20,3,233
2-3,22013,Bienville,0,0,0,0,9127
4-8F,22015,Bossier,9,0,9,1,9765
1-3,22025,Catahoula,3,0,3,0,668
3-3,22025,Catahoula,0,0,0,0,667
3-4,22025,Catahoula,8,0,8,1,655
3052,22039,Evangeline,12,0,12,2,1051
3071,22039,Evangeline,8,0,8,1,1018
4021,22039,Evangeline,9,0,9,1,1003
18,22041,Franklin,13,0,13,2,1062
1-5,22043,Grant,0,0,0,0,10399
19C,22049,Jackson,2,0,2,0,4313
157B,22051,Jefferson,0,0,0,0,1362
212B,22051,Jefferson,0,0,0,0,1395
2-4A,22057,Lafourche,0,0,0,0,1716
8-5,22059,La Salle,36,0,36,5,1725
1-4,22061,Lincoln,0,0,0,0,12314
1-5,22061,Lincoln,0,0,0,0,12313
1-6,22061,Lincoln,0,0,0,0,11677
1-7,22061,Lincoln,0,0,0,0,15863
12-2,22061,Lincoln,0,0,0,0,1753
12-3,22061,Lincoln,0,0,0,0,12315
12-5,22061,Lincoln,0,0,0,0,12316
6-5,22061,Lincoln,0,0,0,0,15865
18A,22063,Livingston,8,0,8,1,8160
26,22065,Madison,0,0,0,0,1886
26A,22065,Madison,0,0,0,0,4322
3-9,22069,Natchitoches,43,0,43,6,1967
3-7B,22085,Sabine,12,0,12,2,12323
6-4,22085,Sabine,25,0,25,3,2641
1,22093,St. James,0,0,0,0,12643
4-1,22095,St. John the Baptist,2,0,2,0,2780
4-8,22095,St. John the Baptist,0,0,0,0,13277
106,22109,Terrebonne,0,0,0,0,13917
118,22109,Terrebonne,0,0,0,0,13923
8,22113,Vermilion,27,0,27,4,3389
12A,22113,Vermilion,0,0,0,0,14241
42A-1,22113,Vermilion,0,0,0,0,14236
44A,22113,Vermilion,3,0,3,0,14556
49B-4,22113,Vermilion,0,0,0,0,14559
5A-1,22113,Vermilion,6,0,6,1,14237
8A,22113,Vermilion,10,0,10,1,14239
1-2A,22115,Vernon,2,0,2,0,3454
1-3B,22115,Vernon,2,0,2,0,3455
1-4D,22115,Vernon,0,0,0,0,3425
1-7A,22115,Vernon,0,0,0,0,3458
1-7B,22115,Vernon,0,0,0,0,3485
1-8E,22115,Vernon,1,0,1,0,3451
1-8F,22115,Vernon,0,0,0,0,3477
1-9,22115,Vernon,47,0,47,6,3439
4-3E,22115,Vernon,0,0,0,0,3491
4-3F,22115,Vernon,4,0,4,1,3475
4-3M,22115,Vernon,2,0,2,0,3432
4-3N,22115,Vernon,0,0,0,0,3430
5-1A,22115,Vernon,31,0,31,4,3440
5-2A,22115,Vernon,0,0,0,0,3449
2B,22119,Webster,5,0,5,1,7514
3-2A,22127,Winn,6,0,6,1,3637
6-5,22127,Winn,28,0,28,4,3641
5-5,22007,Assumption,5,1,6,1,9118
6-2,22013,Bienville,103,1,104,14,279
4A,22035,East Carroll,6,1,7,1,976
2010A,22039,Evangeline,33,1,34,5,8793
2-4,22043,Grant,4,1,5,1,15227
7-7,22043,Grant,14,1,15,2,10401
19BI,22049,Jackson,0,1,1,0,4316
9-4,22059,La Salle,12,1,13,2,1721
9-5,22059,La Salle,38,1,39,5,1734
11-4,22061,Lincoln,12,1,13,2,11044
12-4,22061,Lincoln,0,1,1,0,12318
8-5,22061,Lincoln,6,1,7,1,15860
3-6,22095,St. John the Baptist,7,1,8,1,13272
109,22109,Terrebonne,8,1,9,1,13920
