id,code,state-name,adopted_med,pop_2015,pop_2014,pop_2013,pop_2012,un_2015,un_2014,un_2013,un_2012,rate_2015,insured_2015,rate_2014,rate_2013,rate_2012,diff_12_15,diff_12_15_perc
57,null,null,null,318868500,316159900,313401200,311116152,28965900,32967500,41795100,47950684,9.1%,90.9%,10.4%,13.3%,15.4%,0.063,6.3%
1,AL,Alabama,Not adopting,4833900,4768000,4763900,4816506,519400,522200,724800,711302,10.7%,89.3%,11.0%,15.2%,14.8%,0.04,4.0%
2,AK,Alaska,Adopted,705300,695700,702000,704157,90500,100800,102200,133848,12.8%,87.2%,14.5%,14.6%,19.0%,0.062,6.2%
4,AZ,Arizona,Adopted,6739500,6657200,6603100,6644160,844800,827100,1223000,1198324,12.5%,87.5%,12.4%,18.5%,18.0%,0.055,5.5%
5,AR,Arkansas,Adopted,2953000,2896000,2904800,2913986,268400,287200,436800,534965,9.1%,90.9%,9.9%,15.0%,18.4%,0.093,9.3%
6,CA,California,Adopted,39113900,38701300,38176400,37984727,2980600,3916700,5594100,6787453,7.6%,92.4%,10.1%,14.7%,17.9%,0.102,10.2%
8,CO,Colorado,Adopted,5421300,5377400,5297800,5160260,475700,602900,654000,704532,8.8%,91.2%,11.2%,12.3%,13.7%,0.049,4.9%
9,CT,Connecticut,Adopted,3571700,3577900,3578900,3521006,216900,249200,366100,283631,6.1%,93.9%,7.0%,10.2%,8.1%,0.02,2.0%
10,DE,Delaware,Adopted,959100,929500,909300,901797,65300,63000,62700,97334,6.8%,93.2%,6.8%,6.9%,10.8%,0.04,4.0%
11,DC,District of Columbia,Adopted,676800,656900,652100,632983,27200,42300,51100,49735,4.0%,96.0%,6.4%,7.8%,7.9%,0.038,3.8%
12,FL,Florida,Not adopting,20085300,19731100,19429000,19183917,2544700,2874800,3619700,4116399,12.7%,87.3%,14.6%,18.6%,21.5%,0.088,8.8%
13,GA,Georgia,Not adopting,10104900,9965100,9813000,9672117,1411000,1546500,1592800,1856223,14.0%,86.0%,15.5%,16.2%,19.2%,0.052,5.2%
