id,code,name,trifecta
1,AL,Alabama,R
2,AK,Alaska,N
4,AZ,Arizona,R
5,AR,Arkansas,R
6,CA,California,D
8,CO,Colorado,N
9,CT,Connecticut,D
10,DE,Delaware,D
11,DC,District of Columbia,N
12,FL,Florida,R
13,GA,Georgia,R
15,HI,Hawaii,D
16,ID,Idaho,R
17,IL,Illinois,N
18,IN,Indiana,R
19,IA,Iowa,N
20,KS,Kansas,R
21,KY,Kentucky,N
22,LA,Louisiana,N
23,ME,Maine,N
24,MD,Maryland,N
25,MA,Massachusetts,N
26,MI,Michigan,R
27,MN,Minnesota,N
28,MS,Mississippi,R
29,MO,Missouri,N
30,MT,Montana,N
31,NE,Nebraska,R
32,NV,Nevada,R
33,NH,New Hampshire,N
34,NJ,New Jersey,N
35,NM,New Mexico,N
36,NY,New York,N
37,NC,North Carolina,R
38,ND,North Dakota,R
39,OH,Ohio,R
40,OK,Oklahoma,R
41,OR,Oregon,D
42,PA,Pennsylvania,N
44,RI,Rhode Island,D
45,SC,South Carolina,R
46,SD,South Dakota,R
47,TN,Tennessee,R
48,TX,Texas,R
49,UT,Utah,R
50,VT,Vermont,D
51,VA,Virginia,N
53,WA,Washington,N
54,WV,West Virginia,N
55,WI,Wisconsin,R
56,WY,Wyoming,R
60,AS,America Samoa,N
64,FM,Federated States of Micronesia,N
66,GU,Guam,N
68,MH,Marshall Islands,N
69,MP,Northern Mariana Islands,N
70,PW,Palau,N
72,PR,Puerto Rico,N
74,UM,U.S. Minor Outlying Islands,N
78,VI,Virgin Islands of the United States,N
