id,code,name,trifecta
6,CA,California,Democratic Trifecta
9,CT,Connecticut,Democratic Trifecta
10,DE,Delaware,Democratic Trifecta
15,HI,Hawaii,Democratic Trifecta
41,OR,Oregon,Democratic Trifecta
44,RI,Rhode Island,Democratic Trifecta
50,VT,Vermont,Democratic Trifecta
2,AK,Alaska,No Trifecta
8,CO,Colorado,No Trifecta
11,DC,District of Columbia,No Trifecta
17,IL,Illinois,No Trifecta
19,IA,Iowa,No Trifecta
21,KY,Kentucky,No Trifecta
22,LA,Louisiana,No Trifecta
23,ME,Maine,No Trifecta
24,MD,Maryland,No Trifecta
25,MA,Massachusetts,No Trifecta
27,MN,Minnesota,No Trifecta
29,MO,Missouri,No Trifecta
30,MT,Montana,No Trifecta
33,NH,New Hampshire,No Trifecta
34,NJ,New Jersey,No Trifecta
35,NM,New Mexico,No Trifecta
36,NY,New York,No Trifecta
42,PA,Pennsylvania,No Trifecta
51,VA,Virginia,No Trifecta
53,WA,Washington,No Trifecta
54,WV,West Virginia,No Trifecta
60,AS,America Samoa,No Trifecta
64,FM,Federated States of Micronesia,No Trifecta
66,GU,Guam,No Trifecta
68,MH,Marshall Islands,No Trifecta
69,MP,Northern Mariana Islands,No Trifecta
70,PW,Palau,No Trifecta
72,PR,Puerto Rico,No Trifecta
74,UM,U.S. Minor Outlying Islands,No Trifecta
78,VI,Virgin Islands of the United States,No Trifecta
1,AL,Alabama,Republican Trifecta
4,AZ,Arizona,Republican Trifecta
5,AR,Arkansas,Republican Trifecta
12,FL,Florida,Republican Trifecta
13,GA,Georgia,Republican Trifecta
16,ID,Idaho,Republican Trifecta
18,IN,Indiana,Republican Trifecta
20,KS,Kansas,Republican Trifecta
26,MI,Michigan,Republican Trifecta
28,MS,Mississippi,Republican Trifecta
31,NE,Nebraska,Republican Trifecta
32,NV,Nevada,Republican Trifecta
37,NC,North Carolina,Republican Trifecta
38,ND,North Dakota,Republican Trifecta
39,OH,Ohio,Republican Trifecta
40,OK,Oklahoma,Republican Trifecta
45,SC,South Carolina,Republican Trifecta
46,SD,South Dakota,Republican Trifecta
47,TN,Tennessee,Republican Trifecta
48,TX,Texas,Republican Trifecta
49,UT,Utah,Republican Trifecta
55,WI,Wisconsin,Republican Trifecta
56,WY,Wyoming,Republican Trifecta
