OBJECTID,DISTRICT_N,dem_candid,dem_votes,dem_perc,rep_candid,rep_votes,rep_perc,leg_result,cand_url,win_perc,table_text
87,87,John J. Bell,8203,49.88%,Chuong D. Nguyen,7883,47.94%,Democrat won,https://ballotpedia.org/John_Bell_(Virginia),49.88%,Democrat won with 49.88% of the vote
34,34,Kathleen J. Murphy,10820,50.40%,Craig A. Parisot,10632,49.52%,Democrat won,https://ballotpedia.org/Kathleen_J._Murphy_(Virginia),50.40%,Democrat won with 50.40% of the vote
93,93,"T. ""Monty"" Mason",8910,54.70%,Lara S. Overy,7354,45.15%,Democrat won,https://ballotpedia.org/Michael_P._Mullin,54.70%,Democrat won with 54.70% of the vote
37,37,David L. Bulova,7065,57.33%,Sang H. Yi,5249,42.60%,Democrat won,https://ballotpedia.org/David_Bulova,57.33%,Democrat won with 57.33% of the vote
43,43,Mark D. Sickles,7696,63.26%,Anna Urman,4058,33.36%,Democrat won,https://ballotpedia.org/Mark_Sickles,63.26%,Democrat won with 63.26% of the vote
46,46,Charniele L. Herring,7507,66.96%,Sean T. Lenehan,3170,28.28%,Democrat won,https://ballotpedia.org/Charniele_Herring,66.96%,Democrat won with 66.96% of the vote
11,11,"S. ""Sam"" Rasoul",11216,96.17%,,,,Democrat won,https://ballotpedia.org/S._%22Sam%22_Rasoul,96.17%,Democrat won – no Republican opposition
35,35,Mark L. Keam,9203,94.65%,,,,Democrat won,https://ballotpedia.org/Mark_Keam,94.65%,Democrat won – no Republican opposition
36,36,"Kenneth R. ""Ken"" Plum",10344,93.91%,,,,Democrat won,https://ballotpedia.org/Ken_Plum,93.91%,Democrat won – no Republican opposition
38,38,L. Kaye Kory,7819,73.84%,,,,Democrat won,https://ballotpedia.org/Kaye_Kory,73.84%,Democrat won – no Republican opposition
39,39,Vivian E. Watts,10938,94.36%,,,,Democrat won,https://ballotpedia.org/Vivian_Watts,94.36%,Democrat won – no Republican opposition
41,41,Eileen Filler-Corn,12175,92.80%,,,,Democrat won,https://ballotpedia.org/Eileen_Filler-Corn,92.80%,Democrat won – no Republican opposition
44,44,Paul E. Krizek,9606,94.72%,,,,Democrat won,https://ballotpedia.org/Paul_Krizek,94.72%,Democrat won – no Republican opposition
45,45,Mark H. Levine,16055,95.08%,,,,Democrat won,https://ballotpedia.org/Mark_Levine_(Virginia),95.08%,Democrat won – no Republican opposition
47,47,Patrick A. Hope,11656,77.41%,,,,Democrat won,https://ballotpedia.org/Patrick_Hope,77.41%,Democrat won – no Republican opposition
48,48,"R. C. ""Rip"" Sullivan Jr.",13141,95.36%,,,,Democrat won,https://ballotpedia.org/R.C._Sullivan_Jr.,95.36%,Democrat won – no Republican opposition
49,49,Alfonso H. Lopez,7904,95.61%,,,,Democrat won,https://ballotpedia.org/Alfonso_Lopez,95.61%,Democrat won – no Republican opposition
52,52,Luke E. Torian,7688,95.20%,,,,Democrat won,https://ballotpedia.org/Luke_Torian,95.20%,Democrat won – no Republican opposition
53,53,Marcus B. Simon,9731,95.41%,,,,Democrat won,https://ballotpedia.org/Marcus_Simon,95.41%,Democrat won – no Republican opposition
57,57,David J. Toscano,10459,96.75%,,,,Democrat won,https://ballotpedia.org/David_Toscano,96.75%,Democrat won – no Republican opposition
63,63,Lashrecse D. Aird,9310,96.50%,,,,Democrat won,https://ballotpedia.org/Lashrecse_Aird,96.50%,Democrat won – no Republican opposition
69,69,Betsy B. Carr,10990,96.91%,,,,Democrat won,https://ballotpedia.org/Betsy_Carr,96.91%,Democrat won – no Republican opposition
70,70,Delores L. McQuinn,10676,97.34%,,,,Democrat won,https://ballotpedia.org/Delores_McQuinn,97.34%,Democrat won – no Republican opposition
71,71,Jennifer L. McClellan,9809,88.33%,,,,Democrat won,https://ballotpedia.org/Jenn_McClellan,88.33%,Democrat won – no Republican opposition
74,74,Lamont Bagby,11452,77.90%,,,,Democrat won,https://ballotpedia.org/Lamont_Bagby,77.90%,Democrat won – no Republican opposition
75,75,Roslyn C. Tyler,12396,97.89%,,,,Democrat won,https://ballotpedia.org/Roz_Tyler,97.89%,Democrat won – no Republican opposition
77,77,Lionell Spruill Sr.,5692,96.70%,,,,Democrat won,https://ballotpedia.org/Cliff_Hayes,96.70%,Democrat won – no Republican opposition
79,79,Steve E. Heretick,4008,92.03%,,,,Democrat won,https://ballotpedia.org/Steve_Heretick,92.03%,Democrat won – no Republican opposition
80,80,Matthew James,5667,94.73%,,,,Democrat won,https://ballotpedia.org/Matthew_James,94.73%,Democrat won – no Republican opposition
86,86,Jennifer B. Boysko,8283,54.46%,,,,Democrat won,https://ballotpedia.org/Jennifer_B._Boysko,54.46%,Democrat won – no Republican opposition
89,89,Daun Sessoms Hester,7078,96.06%,,,,Democrat won,https://ballotpedia.org/Daun_Sessoms_Hester,96.06%,Democrat won – no Republican opposition
90,90,"Joseph C. ""Joe"" Lindsey",6351,96.31%,,,,Democrat won,https://ballotpedia.org/Joseph_C._Lindsey,96.31%,Democrat won – no Republican opposition
92,92,Jeion A. Ward,6688,94.65%,,,,Democrat won,https://ballotpedia.org/Jeion_Ward,94.65%,Democrat won – no Republican opposition
95,95,"Marcia S. ""Cia"" Price",6106,75.76%,,,,Democrat won,https://ballotpedia.org/Marcia_Price,75.76%,Democrat won – no Republican opposition
81,81,,,,Barry D. Knight,5429,69.05%,Republican candidate ran unopposed,https://ballotpedia.org/Barry_Knight,69.05%,Republican won - no Democratic opposition
96,96,,,,Brenda L. Pogge,12010,61.08%,Republican candidate ran unopposed,https://ballotpedia.org/Brenda_Pogge,61.08%,Republican won - no Democratic opposition
59,59,,,,C. Matthew Fariss,9312,95.95%,Republican candidate ran unopposed,https://ballotpedia.org/Matt_Fariss,95.95%,Republican won - no Democratic opposition
15,15,,,,C. Todd Gilbert,16102,97.88%,Republican candidate ran unopposed,https://ballotpedia.org/C._Todd_Gilbert_(Virginia),97.88%,Republican won - no Democratic opposition
9,9,,,,Charles D. Poindexter,16086,97.49%,Republican candidate ran unopposed,https://ballotpedia.org/Charles_Poindexter,97.49%,Republican won - no Democratic opposition
83,83,,,,Chris P. Stolle,10233,95.08%,Republican candidate ran unopposed,https://ballotpedia.org/Christopher_Stolle,95.08%,Republican won - no Democratic opposition
29,29,,,,Christopher E. Collins,9997,85.58%,Republican candidate ran unopposed,https://ballotpedia.org/Chris_Collins_(Virginia),85.58%,Republican won - no Democratic opposition
97,97,,,,Christopher K. Peace,15144,78.54%,Republican candidate ran unopposed,https://ballotpedia.org/Chris_Peace,78.54%,Republican won - no Democratic opposition
17,17,,,,Christopher T. Head,15091,96.55%,Republican candidate ran unopposed,https://ballotpedia.org/Chris_Head,96.55%,Republican won - no Democratic opposition
14,14,,,,"D.W. ""Danny"" Marshall III",9821,98.41%,Republican candidate ran unopposed,https://ballotpedia.org/Danny_Marshall_III,98.41%,Republican won - no Democratic opposition
84,84,,,,Glenn R. Davis Jr.,6810,93.47%,Republican candidate ran unopposed,https://ballotpedia.org/Danny_Marshall_III,93.47%,Republican won - no Democratic opposition
91,91,,,,Gordon C. Helsel Jr.,7173,94.68%,Republican candidate ran unopposed,https://ballotpedia.org/Gordon_Helsel,94.68%,Republican won - no Democratic opposition
8,8,,,,Gregory D. Habeeb,16684,95.96%,Republican candidate ran unopposed,https://ballotpedia.org/Greg_Habeeb,95.96%,Republican won - no Democratic opposition
